"Measure","Year","Observed","first_difference","second_difference","log_observed","log_difference"
"Total live births",1967,50560,-4120,-3075,10.8309160288207,-0.0783372620171452
"Total live births",1968,47241,-3319,801,10.7630174385885,-0.06789859023222
"Total live births",1969,44562,-2679,640,10.7046367568974,-0.0583806816911689
"Total live births",1970,45934,1372,4051,10.7349608625764,0.0303241056790089
"Total live births",1971,47088,1154,-218,10.7597734704733,0.0248126078968944
"Total live births",1972,49678,2590,1436,10.813317458148,0.0535439876747912
"Total live births",1973,48269,-1409,-3999,10.7845448116386,-0.0287726465094291
"Total live births",1974,43268,-5001,-3592,10.6751686107502,-0.109376200888436
"Total live births",1975,39948,-3320,1681,10.595333887363,-0.0798347233871546
"Total live births",1976,42783,2835,6155,10.6638961064049,0.0685622190418513
"Total live births",1977,38364,-4419,-7254,10.5548747988478,-0.109021307557036
"Total live births",1978,39441,1077,5496,10.5825611633647,0.0276863645168728
"Total live births",1979,40779,1338,261,10.6159225220034,0.0333613586386434
"Total live births",1980,41217,438,-900,10.6266060715921,0.0106835495887001
"Total live births",1981,42250,1033,595,10.6513596327853,0.024753561193263
"Total live births",1982,42654,404,-629,10.6608763351575,0.00951670237221691
"Total live births",1983,40585,-2069,-2473,10.6111538191953,-0.0497225159622605
"Total live births",1984,41556,971,3040,10.6347971941904,0.0236433749951459
"Total live births",1985,42484,928,-43,10.6568828134414,0.0220856192510084
"Total live births",1986,38379,-4105,-5033,10.5552657139851,-0.101617099456286
"Total live births",1987,43616,5237,9342,10.6831793344963,0.127913620511114
"Total live births",1988,52957,9341,4104,10.8772355424807,0.194056207984476
"Total live births",1989,47669,-5288,-14629,10.7720365704248,-0.105198972055913
"Total live births",1990,51142,3473,8761,10.8423613564105,0.0703247859857186
"Total live births",1991,49114,-2028,-5501,10.801899405523,-0.0404619508875488
"Total live births",1992,49402,288,2316,10.8077461881864,0.00584678266345229
"Total live births",1993,50225,823,535,10.8242681896831,0.0165220014966909
"Total live births",1994,49554,-671,-1494,10.8108182630388,-0.0134499266443626
"Total live births",1995,48635,-919,-248,10.7920987153035,-0.0187195477352322
"Total live births",1996,48577,-58,861,10.7909054468412,-0.001193268462373
"Total live births",1997,47333,-1244,-1186,10.764963005637,-0.0259424412041973
"Total live births",1998,43664,-3669,-2425,10.6842792429481,-0.0806837626888495
"Total live births",1999,43336,-328,3341,10.6767389773377,-0.00754026561038579
"Total live births",2000,46997,3661,3989,10.7578390488678,0.0811000715300203
"Total live births",2001,41451,-5546,-9207,10.6322672857248,-0.125571763142975
"Total live births",2002,40760,-691,4855,10.6154564873367,-0.0168107983881178
"Total live births",2003,37485,-3275,-2584,10.5316961319372,-0.0837603553994999
"Total live births",2004,37174,-311,2964,10.5233648711683,-0.00833126076886437
"Total live births",2005,37492,318,629,10.5318828558664,0.00851798469807896
"Total live births",2006,38317,825,507,10.5536489409199,0.0217660850535388
"Total live births",2007,39490,1173,348,10.5838027542807,0.0301538133607799
"Total live births",2008,39826,336,-837,10.5922752443186,0.00847249003792605
"Total live births",2009,39570,-256,-592,10.5858265343795,-0.0064487099391517
"Total live births",2010,37967,-1603,-1347,10.5444726403599,-0.0413538940195917
"Total live births",2011,39654,1687,3290,10.5879471046985,0.0434744643386296
"Total live births",2012,42663,3009,1322,10.6610873130408,0.0731402083422985
"Total live births",2013,39720,-2943,-5952,10.5896101181591,-0.0714771948816963
"Total live births",2014,42232,2512,5455,10.6509335065035,0.0613233883443431
"Total live births",2015,42185,-47,-2559,10.6498199865997,-0.00111351990372555
"Total live births",2016,41251,-934,-887,10.6274306338932,-0.0223893527065009
"Total live births",2017,39615,-1636,-702,10.5869631133993,-0.040467520493884
"Total live births",2018,39039,-576,1060,10.5723164254449,-0.0146466879544747
"Total live births",2019,39279,240,816,10.5784453038959,0.00612887845099586
"Total live births",2020,38590,-689,-929,10.5607484545317,-0.0176968493641994
"Total live births",2021,38672,82,771,10.5628711029433,0.00212264841159993
"Total live births",2022,35605,-3067,-3149,10.4802413564162,-0.0826297465270383
"Total live births",2023,33541,-2064,1003,10.4205238500788,-0.0597175063373943
"Total live births",2024,33703,162,2226,10.4253421331499,0.00481828307102106
"Total live births",2025,30004,-3699,-3861,10.3090859850895,-0.116256148060325
