"Measure","largest_increase","largest_increase_year","largest_decrease","largest_decrease_year","mean_annual_change","sd_annual_change"
"Total fertility rate",0.34,1988,-0.55,1967,-0.0752307692307692,0.146427325108606
"Total live births",9341,1988,-5546,2001,-488.784615384615,2595.43858584337
