"Measure","observations","level_acf1","first_difference_acf1","second_difference_acf1","log_difference_acf1","level_sd","first_difference_sd","second_difference_sd","log_difference_sd"
"Total fertility rate",66,0.914503868860411,0.370068317500443,-0.401154632637501,0.0163586895592938,1.23390094353702,0.146427325108606,0.161919215478799,0.0626174729573847
"Total live births",66,0.84129648541743,-0.114753587460872,-0.522989039859598,-0.114038752866736,6812.31578272346,2595.43858584337,3881.15913780615,0.0589429145113848
