"Measure","period","first_year","last_year","observations","min_observed","mean_observed","sd_observed","coefficient_of_variation","mean_log_observed","sd_log_observed"
"Total fertility rate","early",1960,1981,22,1.78,3.35181818181818,1.37164703346582,0.409224772664063,1.12703212067942,0.419435914786515
"Total fertility rate","middle",1982,2003,22,1.27,1.61863636363636,0.161489951170357,0.0997691357974686,0.476690067972424,0.102122318044383
"Total fertility rate","recent",2004,2025,22,0.87,1.16454545454545,0.115706001520573,0.0993572222268775,0.147220355145117,0.105679109370678
"Total live births","early",1960,1981,22,38364,48646.1818181818,7633.61813132487,0.156921218603672,10.7807993074303,0.154715395970825
"Total live births","middle",1982,2003,22,37485,45344.3181818182,4396.30258487162,0.0969537697588409,10.7174893212794,0.0980238525393583
"Total live births","recent",2004,2025,22,30004,38435.8636363636,3027.29357827927,0.0787622103907974,10.5535745558699,0.0830015318454349
